timestamp,pstate,clocks.current.graphics,clocks.current.memory,temperature.gpu,power.draw,fan.speed,utilization.gpu
2026/09/17 22:19:34.507, P2, 1890, 6801, 39, 61.64, 33, 5
2026/09/17 22:19:36.530, P2, 1890, 6801, 41, 84.04, 35, 100
2026/09/17 22:19:38.557, P2, 1890, 6801, 41, 84.43, 34, 100
2026/09/17 22:19:40.582, P2, 1890, 6801, 41, 84.28, 30, 100
2026/09/17 22:19:42.607, P2, 1890, 6801, 41, 82.95, 34, 100
2026/09/17 22:19:44.632, P2, 1890, 6801, 41, 84.77, 33, 100
2026/09/17 22:19:46.657, P2, 1890, 6801, 42, 87.29, 33, 99
2026/09/17 22:19:48.679, P2, 1890, 6801, 42, 87.87, 33, 99
2026/09/17 22:19:50.702, P2, 1890, 6801, 42, 88.13, 33, 100
2026/09/17 22:19:52.726, P2, 1890, 6801, 42, 85.82, 33, 99
2026/09/17 22:19:54.749, P2, 1890, 6801, 42, 89.08, 33, 99
2026/09/17 22:19:56.773, P2, 1890, 6801, 43, 98.90, 33, 99
2026/09/17 22:19:58.796, P2, 1890, 6801, 43, 97.54, 33, 99
2026/09/17 22:20:00.821, P2, 1890, 6801, 43, 95.99, 33, 99
2026/09/17 22:20:02.845, P2, 1890, 6801, 43, 97.43, 33, 99
2026/09/17 22:20:04.869, P2, 1890, 6801, 43, 99.07, 33, 99
2026/09/17 22:20:06.892, P2, 1890, 6801, 44, 101.12, 33, 99
2026/09/17 22:20:08.915, P2, 1890, 6801, 44, 100.72, 33, 99
2026/09/17 22:20:10.936, P2, 1890, 6801, 44, 100.29, 33, 99
2026/09/17 22:20:12.959, P2, 1890, 6801, 44, 100.66, 33, 99
2026/09/17 22:20:14.981, P2, 1890, 6801, 44, 101.35, 33, 99
2026/09/17 22:20:17.004, P2, 1890, 6801, 44, 102.99, 33, 99
2026/09/17 22:20:19.027, P2, 1890, 6801, 44, 102.29, 33, 99
2026/09/17 22:20:21.049, P2, 1890, 6801, 44, 100.47, 33, 99
2026/09/17 22:20:23.071, P2, 1890, 6801, 44, 99.64, 33, 99
2026/09/17 22:20:25.093, P2, 1890, 6801, 44, 100.31, 33, 99
2026/09/17 22:20:27.116, P2, 1890, 6801, 44, 94.58, 33, 99
2026/09/17 22:20:29.139, P2, 1890, 6801, 44, 91.68, 33, 99
2026/09/17 22:20:31.162, P2, 1890, 6801, 44, 93.15, 33, 99
2026/09/17 22:20:33.184, P2, 1890, 6801, 44, 94.44, 33, 99
2026/09/17 22:20:35.206, P2, 1890, 6801, 45, 96.65, 33, 99
2026/09/17 22:20:37.228, P2, 1890, 6801, 44, 99.32, 33, 99
2026/09/17 22:20:39.251, P2, 1890, 6801, 45, 96.72, 33, 99
2026/09/17 22:20:41.275, P2, 1890, 6801, 45, 98.84, 33, 99
2026/09/17 22:20:43.298, P2, 1890, 6801, 45, 99.25, 33, 99
2026/09/17 22:20:45.320, P2, 1875, 6801, 45, 102.46, 33, 99
2026/09/17 22:20:47.343, P2, 1875, 6801, 45, 108.10, 33, 99
2026/09/17 22:20:49.365, P2, 1875, 6801, 45, 106.99, 33, 99
2026/09/17 22:20:51.388, P2, 1875, 6801, 46, 109.27, 33, 99
2026/09/17 22:20:53.410, P2, 1875, 6801, 46, 108.75, 33, 99
2026/09/17 22:20:55.433, P2, 1875, 6801, 46, 110.85, 33, 99
2026/09/17 22:20:57.455, P2, 1875, 6801, 46, 109.67, 33, 99
2026/09/17 22:20:59.478, P2, 1875, 6801, 46, 109.29, 33, 99
2026/09/17 22:21:01.500, P2, 1875, 6801, 46, 111.54, 33, 99
2026/09/17 22:21:03.523, P2, 1875, 6801, 46, 110.70, 33, 99
2026/09/17 22:21:05.545, P2, 1875, 6801, 46, 108.94, 33, 99
2026/09/17 22:21:07.568, P2, 1875, 6801, 46, 104.71, 33, 99
2026/09/17 22:21:09.590, P2, 1875, 6801, 47, 107.18, 33, 99
2026/09/17 22:21:11.612, P2, 1875, 6801, 46, 105.90, 33, 99
2026/09/17 22:21:13.634, P2, 1875, 6801, 46, 104.75, 33, 99
2026/09/17 22:21:15.657, P2, 1875, 6801, 46, 100.01, 33, 99
2026/09/17 22:21:17.680, P2, 1875, 6801, 45, 92.72, 33, 99
2026/09/17 22:21:19.702, P2, 1875, 6801, 45, 94.38, 33, 99
2026/09/17 22:21:21.725, P2, 1875, 6801, 45, 94.06, 33, 99
2026/09/17 22:21:23.747, P2, 1875, 6801, 45, 92.75, 33, 99
2026/09/17 22:21:25.769, P2, 1875, 6801, 46, 98.84, 33, 99
2026/09/17 22:21:27.792, P2, 1875, 6801, 46, 101.34, 33, 99
